u,v
1596009839,292935852
3201790713,3201790712
3201790713,292935852
3201790713,3201790719
3201790713,3201790717
316325622,9014131595
316325622,11801884162
316325622,5645355570
9014131595,316325622
9014131595,11801884164
9014131595,9014131593
11801884162,316325622
11801884162,567882209
11801884162,11801884163
5645355570,11702018944
5645355570,417906195
5645355570,316325622
316325623,11801964600
316325623,831732740
316325623,11329832282
11801964600,567882209
11801964600,316325623
11801964600,11801964605
831732740,316325623
831732740,11793919217
831732740,828166988
11329832282,316325623
11329832282,9995878212
11329832282,11329832284
316325626,9995878212
316325626,828166917
316325626,828166952
9995878212,11329832282
9995878212,316325626
9995878212,9995878206
828166917,828167081
828166917,316325626
828166917,828166979
828166952,11793860832
828166952,5645741440
828166952,316325626
316325699,11412841281
316325699,11412766961
316325699,11387421685
11412841281,9625187190
11412841281,316325699
11412841281,11412841282
11412766961,316325699
11412766961,11412841273
11412766961,11412841273
11387421685,9625187194
11387421685,316325699
11387421685,11387421681
316325708,11387421490
316325708,11387380429
316325708,11387380434
11387421490,316325708
11387421490,11387380468
11387421490,11387421493
11387380429,11274348460
11387380429,316325708
11387380429,11387380456
11387380434,316325708
11387380434,9624770786
11387380434,11387380435
339666230,828167047
339666230,2504423232
339666230,1025495669
339666230,11412841280
828167047,339666230
828167047,10933940601
828167047,11412841273
2504423232,339666230
2504423232,1025495827
1025495669,1025495827
1025495669,828166967
1025495669,339666230
1025495669,10933940602
11412841280,339666230
11412841280,417903050
11412841280,10933940601
339666233,9624770781
339666233,9624770798
339666233,11387380441
9624770781,9624770790
9624770781,339666233
9624770781,9624770783
9624770798,339666233
9624770798,9624770780
9624770798,9624770797
11387380441,339666233
339666238,11412841304
339666238,9624770806
339666238,11412766950
11412841304,9624770803
11412841304,339666238
11412841304,11412841305
9624770806,339666238
9624770806,9624770810
9624770806,9624770807
11412766950,11412766953
11412766950,339666238
11412766950,11412766951
339666246,9624770787
339666246,9624770790
339666246,9624770783
9624770787,339666246
9624770787,9624770786
9624770787,9624770790
9624770790,339666246
9624770790,9624770781
9624770790,9624770787
9624770783,339666246
9624770783,9624770781
9624770783,9624770785
417816303,12085970415
417816303,10253268926
417816303,8252011824
12085970415,12085970422
12085970415,417816303
12085970415,12087936139
10253268926,417816303
10253268926,12087936138
10253268926,732923812
8252011824,417903100
8252011824,417816303
8252011824,13415450189
417816306,12083997062
417816306,12083996669
417816306,829529123
12083997062,417816306
12083997062,12083997067
12083997062,12083997065
12083996669,12083996631
12083996669,417816306
12083996669,12083996670
829529123,8252011737
829529123,12087870648
829529123,417816306
417816307,12083997060
417816307,12083997065
417816307,2503822011
12083997060,417816307
12083997060,12083997061
12083997060,829529099
12083997065,417816307
12083997065,12083997062
12083997065,12083997067
2503822011,417816307
2503822011,12033278057
2503822011,12033278044
417816308,12085970320
417816308,12085970298
417816308,6975364753
12085970320,417816308
12085970320,12085970326
12085970320,12085970323
12085970298,12085970274
12085970298,417816308
12085970298,12085970296
6975364753,417816308
6975364753,12085970324
6975364753,12085970296
417883816,2566966446
417883816,417883820
417883816,1016736321
2566966446,2948558238
2566966446,417883816
2566966446,3616245871
417883820,7864614737
417883820,417883816
417883820,13420942476
1016736321,13357813834
1016736321,417883816
1016736321,1016736108
7864614737,7864614755
7864614737,417883822
7864614737,417883820
13420942476,417883820
417883822,7864614737
417883822,1600265147
417883822,3266053546
1600265147,417883822
1600265147,10130690450
1600265147,10175352210
3266053546,2952534963
3266053546,7864614713
3266053546,417883822
417903050,11412841280
417903050,4479813456
4479813456,4479813457
417903090,4294558975
417903090,4294558954
417903090,12033277714
4294558975,417903090
4294558975,11749810282
4294558975,4294558977
4294558954,829529117
4294558954,417903090
4294558954,4294558959
12033277714,417903090
417903100,8252011824
417903100,829529024
417903100,1015158337
829529024,417903100
829529024,829529117
829529024,12114541200
1015158337,12033278020
1015158337,12033278030
1015158337,417903100
417903120,11517373066
417903120,828167044
417903120,2063087145
11517373066,9288468607
11517373066,417903120
11517373066,11517373068
828167044,1520815733
828167044,9288468645
828167044,417903120
2063087145,1018633297
2063087145,3264413812
2063087145,417903120
2063087145,4479803750
417903125,11504343397
417903125,9288468660
417903125,3264413776
11504343397,417903125
11504343397,11504343392
11504343397,11504343400
9288468660,11517411605
9288468660,417903125
9288468660,9288468533
3264413776,11504343401
3264413776,417903125
3264413776,567880342
417903137,9288468522
417903137,9288468588
417903137,1515974557
9288468522,9288468607
9288468522,417903137
9288468522,9288468523
9288468588,9288468591
9288468588,417903137
9288468588,9288468585
1515974557,1515974538
1515974557,1515974624
1515974557,417903137
417906195,5645355570
417906195,5420363431
417906195,9824231297
417906195,9014131598
5420363431,11801884110
5420363431,5420363433
5420363431,417906195
9824231297,831732787
9824231297,9824231292
9824231297,417906195
9014131598,4706296533
9014131598,417906195
9014131598,11702060721
417906233,8236686938
417906233,11756504304
417906233,8236686949
8236686938,8236686937
8236686938,417906233
8236686938,11756504303
11756504304,11690717725
11756504304,11756504303
11756504304,417906233
8236686949,11690717698
8236686949,8236686948
8236686949,417906233
417906251,11835681669
417906251,823673638
417906251,823672810
823673638,828179327
823673638,417906251
823673638,823673467
823672810,417906251
823672810,823673673
823672810,11801964685
417916598,417916599
417916598,727806527
417916598,727806383
417916599,417916598
417916599,4649083913
417916599,4438230876
727806383,727806375
727806383,417916598
727806383,727806473
727806383,727806346
4649083913,702501346
4649083913,417916599
4649083913,4649083910
4438230876,417916599
417916606,703335685
417916606,618628877
703335685,703335698
703335685,417916606
703335685,702501346
618628877,618628878
417916634,4438230835
417916634,417916637
4438230835,417916634
4438230835,698832896
4438230835,4438230843
417916637,417916639
417916639,1025288845
417916639,618628866
1025288845,417916639
1025288845,503904730
1025288845,696933688
618628866,3063780254
618628866,417916654
417916654,703335682
417916654,3063780254
703335682,417916654
703335682,12299190465
703335682,1569484264
3063780254,618628875
443025224,3264413812
443025224,443025229
443025224,3264413836
3264413812,2063087145
3264413812,443025224
3264413812,3264413836
443025229,443025224
443025229,9288424600
443025229,10964928046
3264413836,10964928051
3264413836,443025224
3264413836,3264413812
9288424600,443025229
9288424600,3264413808
9288424600,9288424598
9288424600,3264413795
10964928046,10964928051
10964928046,10964928047
10964928046,443025229
484777324,10740792987
484777324,10740792989
484777324,825160940
484777324,831733029
10740792987,484777324
10740792987,12202471728
10740792987,12202471746
10740792989,484777324
10740792989,12178960148
10740792989,12202471747
825160940,825159477
825160940,4769559348
825160940,484777324
831733029,2507522545
831733029,831732760
831733029,484777324
503904641,3063780243
503904641,2508189961
503904641,3063780246
3063780243,6952381287
3063780243,503904641
2508189961,621144011
2508189961,2508189965
2508189961,503904641
3063780246,10240272772
3063780246,2508189965
503904730,7142008635
503904730,1025288845
503904730,7142008637
7142008635,503904730
7142008635,7142008636
7142008635,503918463
7142008637,7142008638
7142008637,503904730
7142008637,698832826
503918463,698832826
503918463,7142008635
503918463,13152954230
698832826,503918463
698832826,7142008637
698832826,698832805
13152954230,704440121
13152954230,503918463
13152954230,13152954235
533996502,1109424803
533996502,533996506
1109424803,11614928435
1109424803,533996506
533996506,277907447
1109426271,831631464
1109426271,277907448
538081008,538353629
538081008,1977173171
538081008,1518951612
538353629,538081008
538353629,581130066
538353629,538354240
1977173171,567877603
1977173171,538081008
1977173171,2566896932
1518951612,8492242125
1518951612,1518951604
1518951612,538081008
538081030,2148896488
538081030,1370110976
2148896488,10086801944
2148896488,538081030
2148896488,10086801942
1370110976,538081030
1370110976,11208933541
538081039,12299248433
538081039,10086801942
538081039,9236375993
538081039,10086801953
12299248433,2460622008
12299248433,538081039
12299248433,12299248444
10086801942,10086801944
10086801942,538081039
10086801942,2148896488
10086801942,9236375988
9236375993,2460622008
9236375993,2460622059
